title,field,mukey,rotation,year,soybean_yield,maize_yield,corn_buac,soy_buac,soybean_biomass,maize_biomass,fertiliser,surfaceom_c_init,surfaceom_c_end,leach_no3
name_AccolaDefault_mukey_2765537_rot_cfs_sim,AccolaDefault,2765537,cfs,2019,0.0,10784.00684,201.72437,0.0,0.0,18687.66515,0.0,3219.56396,6988.18457,11.25536
name_AccolaDefault_mukey_2800480_rot_cfs_sim,AccolaDefault,2800480,cfs,2019,0.0,10824.6079,202.48384,0.0,0.0,19202.35973,0.0,3341.31226,7188.04248,13.363859999999999
name_AccolaDefault_mukey_2835021_rot_cfs_sim,AccolaDefault,2835021,cfs,2019,0.0,10907.5036,204.03448,0.0,0.0,20293.71026,0.0,3399.55444,7605.5957,19.96709
name_AccolaDefault_mukey_2835194_rot_cfs_sim,AccolaDefault,2835194,cfs,2019,0.0,10920.31267,204.27408,0.0,0.0,20536.74996,0.0,3592.93359,7709.40576,20.66629
name_AccolaDefault_mukey_2922031_rot_cfs_sim,AccolaDefault,2922031,cfs,2019,0.0,10866.38077,203.26524,0.0,0.0,19811.34419,0.0,3388.53467,7419.88916,15.58665
name_AccolaDefault_mukey_411333_rot_cfs_sim,AccolaDefault,411333,cfs,2019,0.0,10619.86358,198.65392,0.0,0.0,19384.38171,0.0,2228.78125,7228.58252,21.517989999999998
