title,field,mukey,rotation,year,soybean_yield,maize_yield,corn_buac,soy_buac,soybean_biomass,maize_biomass,fertiliser,surfaceom_c_init,surfaceom_c_end,leach_no3
name_AccolaDefault_mukey_2765537_rot_sfc_sim,AccolaDefault,2765537,sfc,2018,3156.1709,0.0,0.0,54.05396,7351.4292,0.0,0.0,6679.4502,2224.00317,49.784560000000006
name_AccolaDefault_mukey_2800480_rot_sfc_sim,AccolaDefault,2800480,sfc,2018,3156.16968,0.0,0.0,54.05394,7351.42871,0.0,0.0,6479.59619,2183.5415,66.29284
name_AccolaDefault_mukey_2835021_rot_sfc_sim,AccolaDefault,2835021,sfc,2018,3156.16968,0.0,0.0,54.05394,7351.42871,0.0,0.0,6437.15967,2180.52393,91.13580999999999
name_AccolaDefault_mukey_2835194_rot_sfc_sim,AccolaDefault,2835194,sfc,2018,3156.16968,0.0,0.0,54.05394,7351.4292,0.0,0.0,6771.54102,2182.37915,92.59138
name_AccolaDefault_mukey_2922031_rot_sfc_sim,AccolaDefault,2922031,sfc,2018,3156.16968,0.0,0.0,54.05394,7351.4292,0.0,0.0,6383.104,2180.82642,73.61514
name_AccolaDefault_mukey_411333_rot_sfc_sim,AccolaDefault,411333,sfc,2018,3154.35864,0.0,0.0,54.02292,7347.18701,0.0,0.0,5605.57617,2176.34448,125.05134999999999
