title,field,mukey,rotation,year,soybean_yield,maize_yield,corn_buac,soy_buac,soybean_biomass,maize_biomass,fertiliser,surfaceom_c_init,surfaceom_c_end,leach_no3
name_EbilslandDefault_mukey_2550285_rot_cfs_sim,EbilslandDefault,2550285,cfs,2018,0.0,11071.41488,207.10059,0.0,0.0,21639.33261,0.0,2689.70923,3851.14746,26.039070000000002
name_EbilslandDefault_mukey_2765522_rot_cfs_sim,EbilslandDefault,2765522,cfs,2018,0.0,10817.48608,202.35062,0.0,0.0,19851.85332,0.0,3049.76294,3587.55298,9.1115
name_EbilslandDefault_mukey_2834849_rot_cfs_sim,EbilslandDefault,2834849,cfs,2018,0.0,10845.64575,202.87738,0.0,0.0,20227.17789,0.0,3006.84106,3621.39575,10.15412
name_EbilslandDefault_mukey_2835012_rot_cfs_sim,EbilslandDefault,2835012,cfs,2018,0.0,10938.14469,204.60765,0.0,0.0,21072.45429,0.0,3003.70068,3756.31763,14.909419999999997
name_EbilslandDefault_mukey_2835146_rot_cfs_sim,EbilslandDefault,2835146,cfs,2018,0.0,10942.22415,204.68396,0.0,0.0,21241.7876,0.0,3105.90967,3790.7981,15.66696
name_EbilslandDefault_mukey_2922007_rot_cfs_sim,EbilslandDefault,2922007,cfs,2018,0.0,10888.28867,203.67505,0.0,0.0,20662.17534,0.0,2978.63623,3685.51904,10.690889999999998
